Country,money,CO2_modeled,CO2_actual,error
Mozambique,6.7,2798.30950834071,5573.389,-2775.07949165929
Mauritania,8.9,470.864584728194,903.487,-432.622415271806
Mauritius,5.4,329.950088310332,194.155,135.795088310332
Malawi,6.5,1763.73358936701,1887.21,-123.47641063299
Malaysia,7.7,7098.45414120332,21213.366,-14114.9118587967
Namibia,-1.8,398.206992350808,990.655,-592.448007649192
New Caledonia,#N/A,151.884721574034,0,151.884721574034
Niger,8.7,1899.13018092055,3537.478,-1638.34781907945
Nigeria,-1.1,23584.9994092674,30853.27,-7268.2705907326
Nicaragua,4,851.730025767961,4880.437,-4028.70697423204
Netherlands,-0.9,16584.4316397745,17654.793,-1070.3613602255
Norway,1.3,7033.71306149387,5206.255,1827.45806149387
Nepal,6.8,3544.47401302316,4568.352,-1023.87798697684
Nauru,5.5,3.05216180013831,5.16,-2.10783819986169
New Zealand,-1.9,3200.72922401762,10385.892,-7185.16277598238
Oman,8.1,1318.37114265019,2857.26,-1538.88885734981
Pakistan,8.9,24576.034512565,19935.4,4640.634512565
Panama,1,1059.84255429135,2465.735,-1405.89244570865
Peru,0.9,5994.93478618714,11013.808,-5018.87321381286
Philippines,3.6,14736.3010912214,22583.242,-7846.9409087786
Palau,1.1,6.10056856880659,16.416,-10.3154314311934
Papua New Guinea,6,1068.50964446976,3283.479,-2214.96935553024
Poland,-3.5,12520.6998585943,42376.21,-29855.5101414057
Puerto Rico (US),#N/A,2122.91967563504,#N/A,#N/A
North Korea,5.3,3281.02636219795,8104.781,-4823.75463780205
Portugal,-3.9,5218.34941262313,4576.658,641.69141262313
Paraguay,0.199999999999999,1105.36592073297,5911.228,-4805.86207926703
West Bank and Gaza,#N/A,455.208566031076,#N/A,#N/A
French Polynesia,#N/A,133.507055813837,0,133.507055813837
Qatar,7.5,1867.99366282971,4477.972,-2609.97833717029
Romania,-5.4,5906.2784671307,15034.501,-9128.2225328693
Russia,-6.1,42839.1285931398,253604.04,-210764.91140686
Rwanda,-0.800000000000001,1303.9336355192,899.677,404.2566355192
Saudi Arabia,8.8,12014.0264841848,23403.311,-11389.2845158152
Sudan,6.3,4650.79972403098,8808.918,-4158.11827596902
Senegal,8.4,1731.68635736246,1901.126,-169.43964263754
Singapore,7,4551.66489732185,2603.928,1947.73689732185
Solomon Islands,7.3,78.1149911888339,124.641,-46.5260088111661
Sierra Leone,0.300000000000001,799.959340402182,2284.589,-1484.62965959782
El Salvador,5.8,1151.60854944454,1401.661,-250.05245055546
San Marino,#N/A,25.1289595870165,0,25.1289595870165
Somalia,8.5,1421.82395885897,2862.202,-1440.37804114103
Serbia,-3.6,1791.87015649087,4828.101,-3036.23084350913
South Sudan,#N/A,1044.85949385311,4157.568,-3112.70850614689
Sao Tome and Principe,1.9,26.1092180661433,10.624,15.4852180661433
Suriname,2.4,124.58156755392,359.167,-234.58543244608
Slovak Republic,#N/A,2042.64006404368,#N/A,#N/A
Slovenia,-2.6,990.844752087679,1564.12,-573.275247912321
Sweden,-0.199999999999999,10166.607210489,9027.398,1139.209210489
Eswatini,#N/A,190.856120754625,253.547,-62.690879245375
Sint Maarten (Dutch part),#N/A,14.1350429545111,0,14.1350429545111
Seychelles,3.4,32.1013311388127,19.898,12.2033311388127
Syrian Arab Republic,#N/A,2693.82962436101,#N/A,#N/A
Turks and Caicos Islands,#N/A,13.9326329605158,7.797,6.1356329605158
Chad,4.6,1481.34131787089,3720.142,-2238.80068212911
Togo,6.7,827.006218444366,766.568,60.438218444366
Thailand,1.9,14022.0230801685,30248.239,-16226.2159198315
Tajikistan,6.2,984.41239919287,1256.919,-272.50660080713
Turkmenistan,4.7,1040.98720227387,5896.446,-4855.45879772613
Timor-Leste,8.4,150.331693948763,#N/A,#N/A
Tonga,7.4,21.2736643317748,23.288,-2.0143356682252
Trinidad and Tobago,2.3,536.778062671502,2478.152,-1941.3739373285
Tunisia,7.5,1998.86312046531,2299.602,-300.73887953469
Turkey,7,19857.7936920721,22380.266,-2522.4723079279
Tuvalu,7.5,1.88469121340725,0.956,0.92869121340725
Tanzania,1.3,5592.30117965324,12245.448,-6653.14682034676
Uganda,-0.800000000000001,3892.49112883004,4595.583,-703.09187116996
Ukraine,-4.9,9584.8147867078,53906.268,-44321.4532132922
Uruguay,1.4,1222.20038446934,4710.339,-3488.13861553066
United States,-0.199999999999999,335136.477045744,640565.641,-305429.163954256
Uzbekistan,4.4,4119.14202779527,11451.545,-7332.40297220473
St. Vincent and the Grenadines,#N/A,28.740941708467,#N/A,#N/A
Venezuela,0.0999999999999996,5942.56042991502,22021.548,-16078.987570085
British Virgin Islands,#N/A,3.03537213022131,0,3.03537213022131
Virgin Islands (U.S.),#N/A,58.2643371682544,#N/A,#N/A
Vietnam,2.4,13314.8010337509,21533.67,-8218.8689662491
Vanuatu,7.6,37.4098916464223,135.275,-97.8651083535777
Samoa,5.4,37.8767952229414,47.132,-9.25520477705859
Kosovo,#N/A,327.410270625404,0,327.410270625404
Yemen,8.7,3097.3737777414,1859.992,1237.3817777414
South Africa,-2,12054.116956494,33601.668,-21547.551043506
Zambia,5,1792.25413316256,6894.589,-5102.33486683744
Zimbabwe,3.3,1911.1873388323,3367.38,-1456.1926611677
